,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
2053,2053,6229,2021-12-29,齐天大圣17,齐天大圣17,57069821,RM38,46407274.0,510027,35703302,25801,11417,79807,392912,90,7053770323,16326,1839335,4278142.0,0.0,-200000.0,-200000.0,-100000.0,-1000000.0,-1029258.0,0.0,0.0
2153,2153,2263,2021-12-02,HotShotTiger,HotShotTiger,58442808,RR38,82133219.0,7979264,1491498403,1216989,175172,334653,6252445,5,5551884670,90435,5636251,64456903.0,0.0,-10000000.0,-7600000.0,-2000000.0,-70000000.0,-35092075.0,0.0,0.0
2185,2185,4332,2021-12-14,BubblesLvs2Farm,BubblesLvs2Farm,58698652,[{Hp38]Humble plebeians,41815199.0,15156585,149420372,2273572,501604,986700,8387853,3006856,4656165628,22858,0,149420372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2494541.0
2197,2197,4293,2021-12-14,Baby yakoô,Baby yakoo,58815176,OGFa,27258648.0,2275125,8201762,1332723,466233,72793,135594,267782,0,7674,571171,8201762.0,0.0,0.0,0.0,0.0,0.0,0.0,-5028920041.0,0.0
2220,2220,4365,2021-12-14,Chrollо,Chrollо,58996561,RR38,87692166.0,4614401,1101599127,349089,385050,600695,3279567,0,0,0,0,36038367.0,2821700.0,-1000000.0,-1000000.0,-1000000.0,-39994548.0,-32829679.0,-3058731503.0,-6657861.0
2260,2260,4556,2021-12-14,Kingsummer OG,Kingsummer OG,59331015,RR38,75405022.0,10174982,345184297,744188,8435070,523160,59860,412704,2353776463,17336,3797384,27964297.0,51965732.0,-6000000.0,-9989965.0,-3991922.0,-18004339.0,-2403163.0,0.0,0.0
2312,2312,4811,2021-12-14,Rin OG,Rin OG,60134257,RK38,52310465.0,6445021,357667626,622003,256388,223380,5342955,295,3842971384,83437,3691616,54966146.0,17769754.0,-1000000.0,-1000000.0,-997244.0,-19401657.0,-4236309.0,2.0,141190.0
2360,2360,4886,2021-12-14,Slayer X Jixco,Slayer X Jixco,60304697,RX38,33926724.0,0,16880703,0,0,0,0,0,603906906,33140,1662881,0.0,1202900.0,-203688.0,-301619.0,-354387.0,-797898.0,-281865.0,0.0,0.0
2412,2412,2239,2021-12-02,Guan Chau OG,Guan Chau OG,61178797,RK38,37631498.0,10176179,91603305,1176519,284016,213885,8009075,492684,0,24311,1542474,91603305.0,0.0,0.0,0.0,0.0,0.0,0.0,-4307561832.0,0.0
2486,2486,4577,2021-12-14,Lazy Luffy,Lazy Luffy,61950882,RA38,67354281.0,5060811,749693337,930026,75511,422855,3632419,0,0,48552,7766060,38352637.0,18471307.0,-5997925.0,-7998949.0,-7000000.0,-39329177.0,-12719007.0,-3408062643.0,8988.0
2558,2558,4565,2021-12-14,LESHiy,LESHiy,62323092,RA38,69841752.0,83599494,947038337,3924585,8514576,3891447,43171924,24096962,399106665,0,5345655,947038337.0,17185570.0,0.0,0.0,0.0,338579.0,689989.0,-1.0,-30.0
2582,2582,4239,2021-12-14,19Alim93 Dealer,19Alim93 Dealer,62399898,RR38,74552329.0,62143714,671126012,2764654,2727016,1488315,44410879,10752850,1070995833,96926,4173152,671126012.0,38551122.0,4363.0,0.0,0.0,1305599.0,1274713.0,-5.0,51603.0
2606,2606,3561,2021-12-09,RhonyIsFîshy,RhonyIsFishy,62660905,RR38,63933348.0,37031404,305532824,4317314,4067456,3743780,21649775,3253079,0,60247,4280950,305532824.0,143003.0,66.0,0.0,0.0,21.0,7139.0,-5025460932.0,9042.0
2650,2650,6126,2021-12-29,مصعب المهاجر,مصعب المهاجر,62770125,RP38,38425634.0,1083344,59807860,84324,66523,328040,604457,0,851213543,14646,1959216,7506640.0,1682043.0,-283894.0,-3000000.0,-3999712.0,-1938009.0,-459173.0,0.0,20685.0
2662,2662,5568,2021-12-29,Kvitravn Q,Kvitravn Q,62903562,RC38,34771390.0,896239,8819876,180434,94434,39263,320429,261679,0,903,3034732,8819876.0,799712.0,0.0,0.0,11033.0,75558.0,0.0,-853497695.0,0.0
2667,2667,4594,2021-12-14,Lego Batman,Lego Batman,62935309,RP38,70842249.0,5080695,435654909,619745,25478,549346,3886126,0,2027582938,88889,4338210,41233549.0,16937010.0,-5000000.0,-800000.0,-1000000.0,-14640235.0,-11224100.0,0.0,27979.0
2679,2679,4580,2021-12-14,Lazy ﾒ Blue,Lazy ﾒ Blue,62946708,RR38,65093420.0,50797746,684525734,1408992,661763,644610,28130565,19951816,0,0,0,684525734.0,61419993.0,835.0,4260.0,1509.0,1500511.0,2320008.0,-333583627.0,-4665229.0
