,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
3414,3414,951,2021-11-22,义 daeny 义,义 daeny 义,67704983,RN38,25062902.0,2052412,3031499,1699015,88434,22467,242496,0,1568787710,3719,7425,3031499.0
3415,3415,2950,2021-12-02,义 daeny 义,义 daeny 义,67704983,RN38,25283163.0,2052412,3031499,1699015,88434,22467,242496,0,1568787710,3733,7425,3031499.0
3416,3416,3954,2021-12-09,义 daeny 义,义 daeny 义,67704983,RN38,25331207.0,2052412,3031499,1699015,88434,22467,242496,0,1568787710,3744,7425,3031499.0
3417,3417,5191,2021-12-14,义 daeny 义,义 daeny 义,67704983,RN38,25404907.0,2058261,3148479,1699015,88434,22467,242496,5849,0,0,7425,3148479.0
3424,3424,5425,2021-12-29,Erwinlim,Erwinlim,67980415,Ri38,40481300.0,59001320,563969572,4283260,4872632,2898829,39715964,7230635,0,17694,4585291,563969572.0
3448,3448,4669,2021-12-14,Mr BigTbn,Mr BigTbn,68350663,Rw38,27550117.0,12518610,87113534,3808190,902561,1263776,5138999,1405084,0,25002,0,87113534.0
3477,3477,3479,2021-12-09,PREDATOŔ,PREDATOR,68605432,RP38,51169175.0,29420259,229273986,6903372,2768871,2451175,13338595,3958246,0,47718,3466632,229273986.0
3506,3506,3307,2021-12-09,Kayy00,Kayy00,68734401,Rw38,28088011.0,0,10887329,0,0,0,0,0,46803528,4338,138690,0.0
3536,3536,3837,2021-12-09,saw FarhoD,saw FarhoD,69100400,F38S,25984374.0,0,51355672,0,0,0,0,0,2303844268,23079,1370159,0.0
3543,3543,4911,2021-12-14,Slayer x badboy,Slayer x badboy,69199791,RX38,48165747.0,1495605,39365347,542567,54458,54087,844493,0,731859274,34383,206761,8878707.0
3567,3567,4605,2021-12-14,Louie13,Louie13,69545360,RP38,80119343.0,1999587,164414368,39102,48004,219075,1693406,0,1786811554,25514,905491,17914188.0
3583,3583,4784,2021-12-14,Queen jail,Queen jail,69665867,RA38,37469710.0,21579022,120198903,7564079,3102507,1756061,7767067,1389308,0,21603,3587909,120198903.0
3655,3655,4642,2021-12-14,MaddKING Ragnar,MaddKING Ragnar,70209602,RA38,60664945.0,24453934,290667315,1215689,1418867,1500336,12479574,7839468,0,0,3019588,290667315.0
3670,3670,186,2021-11-22,Dod 1,Dod 1,70615113,Rj38,25297362.0,1137461,7871875,235156,97554,69629,735122,0,3074600915,4792,110797,7871875.0
3671,3671,2161,2021-12-02,Dod 1,Dod 1,70615113,Rj38,25266973.0,1163186,8129125,235156,97554,69629,760847,0,3111697624,4840,152691,8129125.0
3672,3672,3166,2021-12-09,Dod 1,Dod 1,70615113,Rt38,25294445.0,1195985,8135685,267955,97554,69629,760847,0,3111697624,4869,152691,8135685.0
3673,3673,4401,2021-12-14,Dod 1,Dod 1,70615113,Rt38,25345466.0,1196318,8139015,267955,97554,69629,761180,0,3111697624,4904,152691,8139015.0
3674,3674,5403,2021-12-29,Dod 1,Dod 1,70615113,OGFa,25644065.0,1196318,8139015,267955,97554,69629,761180,0,0,0,0,8139015.0
3675,3675,1162,2022-01-01,Dod 1,Dod 1,70615113,OGFa,25709982.0,1196318,8139015,267955,97554,69629,761180,0,3383138017,4950,152691,8139015.0
3720,3720,609,2021-11-22,ScReamOuS,ScReamOuS,71224394,Ri38,29167579.0,353473,3412987,5,2509,16937,334022,0,243691919,6612,4785,3412987.0
3721,3721,2587,2021-12-02,ScReamOuS,ScReamOuS,71224394,Ri38,30032316.0,353473,3412987,5,2509,16937,334022,0,243691919,6816,4785,3412987.0
3722,3722,3602,2021-12-09,ScReamOuS,ScReamOuS,71224394,Ri38,30579010.0,353473,3412987,5,2509,16937,334022,0,243691919,7150,4785,3412987.0
3742,3742,2494,2021-12-02,Pirate Maung,Pirate Maung,71363203,Rt38,40933344.0,14523069,100010250,3573380,1549853,1151682,7337394,910760,0,0,0,100010250.0
3781,3781,2531,2021-12-02,QuuenBankk,QuuenBankk,72197579,Ri38,33402135.0,3650690,24575091,760218,808619,68915,1772861,240077,0,0,0,24575091.0
3784,3784,5796,2021-12-29,QuuenBankk,QuuenBankk,72197579,Ri38,34452135.0,3821668,26284871,760218,808619,68915,1943839,240077,1283454306,9610,0,26284871.0
3794,3794,2512,2021-12-02,Polcadot,Polcadot,72466066,AOO:,24990602.0,2073019,12937376,273242,535618,195518,1034340,34301,0,0,0,12937376.0
3802,3802,4048,2021-12-09,Hector133,Hector133,72557634,Rw38,23332095.0,59602,502982,2764,4217,5369,47252,0,3600000,4482,37791,502982.0
3809,3809,331,2021-11-22,Jorgańdr,Jorgandr,72969016,RX38,38554558.0,15853682,166123060,1582853,430062,585889,10249475,3005403,0,0,0,166123060.0
3864,3864,3692,2021-12-09,Small Haniyasu,Small Haniyasu,73884186,Ri38,26356219.0,3330728,21952858,291553,1041589,412180,1354547,230859,0,0,0,21952858.0
3905,3905,2845,2021-12-02,tomizasu 0,tomizasu 0,74307326,DK38,24944251.0,10587218,29779909,1857508,6692776,847299,1115904,73731,0,0,278570,29779909.0
3916,3916,4105,2021-12-09,Master Tèo,Master Teo,74522049,Rw38,19346863.0,5783841,15784698,1580883,2293677,1368607,540674,0,3554476772,11126,348224,15784698.0
3930,3930,2873,2021-12-02,ˢᵑ SimonLP,sᵑ SimonLP,75075936,RX38,38087546.0,48738567,238206952,26797010,451490,322595,19269525,1897947,0,14787,2773950,238206952.0
3945,3945,5528,2021-12-29,Izzy 永,Izzy 永,75144155,Ri38,49388468.0,62316249,442978163,25547885,1343933,1019220,25700038,8705173,0,45233,3841789,442978163.0
4051,4051,3177,2021-12-09,Dèvalish,Devalish,76122309,RR38,53300666.0,0,146471215,0,0,0,0,0,213282533,51123,2002380,0.0
4052,4052,4413,2021-12-14,Dèvalish,Devalish,76122309,RR38,55597082.0,8,166688014,8,0,0,0,0,213282533,52856,2068923,1.0
