Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,,,
2021-11-23,Oxiurus Maximus,Oxiurus Maximus,53317858,RA38,77081344,"69,609,791","433,077,435","30,551,277","4,879,083","2,475,941","22,676,455","9,027,035","1,182,144,041","50,297","3,173,923",433077435.4,-0.399999976158142,FALSE
2021-11-23,Traxxxx,Traxxxx,17780812,RP38,76650808,"73,787,654","659,096,832","25,580,640","166,098","889,987","29,293,002","17,857,927","3,031,386,506","64,746","6,940,269",659096832,0,FALSE
2021-11-23,暗 pequod,暗 pequod,15186568,RP38,76465502,"53,179,488","662,407,310","1,272,523","599,917","1,280,078","34,470,674","15,556,296","2,583,988,040","76,504","7,292,244",662407310.6,-0.600000023841858,FALSE
2021-11-23,slanter,slanter,43110892,RA38,76041110,"157,911,931","2,013,748,123","4,204,377","5,172,226","4,198,634","90,096,562","54,240,132","5,102,131,492","147,375","8,704,865",2013748123.4,-0.400000095367432,FALSE
2021-11-23,YouGotCrabs,YouGotCrabs,12182229,RR38,75992534,"51,612,151","663,480,960","959,084","517,321","1,247,468","32,050,093","16,838,185","4,283,278,276","93,206","4,976,591",663480960.8,-0.799999952316284,FALSE
2021-11-23,Mashmattatoe,Mashmattatoe,33910779,RP38,75911754,"50,275,264","652,532,833","1,634,899","893,684","1,255,619","28,442,523","18,048,539","14,524,300,328","60,341","5,817,333",652532833.8,-0.799999952316284,FALSE
2021-11-23,Louie13,Louie13,69545360,RP38,75669219,"16,049,293","158,172,918","839,102","648,004","1,219,075","11,502,945","1,840,167","1,786,811,554","24,150","904,242",158172918.4,-0.400000005960465,FALSE
2021-11-23,Valkiara,Valkiara,47351877,RP38,75460680,"72,303,815","848,270,712","3,424,322","1,046,731","2,759,334","46,701,351","18,372,077","1,521,947,566","70,726","6,785,069",848270712.4,-0.399999976158142,FALSE
2021-11-23,LyoKo,LyoKo,39673397,RR38,75360953,"89,137,939","1,000,344,064","5,487,073","4,619,636","3,430,812","53,572,423","22,027,995","2,520,018,093","95,803","6,166,193",1000344064.6,-0.600000023841858,FALSE
2021-11-23,mantovinii,mantovinii,63932677,RA38,75351928,"64,489,255","730,157,394","2,630,894","5,276,920","2,882,339","36,643,402","17,055,700","601,197,557","97,782","7,398,799",730157394.8,-0.799999952316284,FALSE
2021-11-23,1LimitBreakr,1LimitBreakr,28759255,RK38,75332769,"80,479,702","944,384,416","8,958,194","893,212","4,081,796","40,645,083","25,901,417","1,009,147,076","57,486","6,284,480",944384416.8,-0.799999952316284,FALSE
2021-11-23,S i m o   CG,S i m o   CG,17625084,RA38,75180052,"59,268,366","550,748,492","15,712,062","1,600,409","1,680,713","26,782,123","13,493,059","1,972,603,731","80,077","5,964,982",550748492.4,-0.399999976158142,FALSE
2021-11-23,IrоnGiant,IrоnGiant,37732597,RK38,75070988,"90,911,007","1,013,664,900","3,432,213","4,162,634","6,089,355","56,424,033","20,802,772","1,360,956,527","90,075","7,858,604",1013664900.6,-0.600000023841858,FALSE
2021-11-23,JOLAN,JOLAN,17854556,RA38,75002508,"62,498,236","788,052,641","1,931,827","502,794","609,672","40,485,686","18,968,257","1,280,860,516","85,143","5,054,307",788052641.4,-0.399999976158142,FALSE
2021-11-23,AndrewB2000,AndrewB2000,7681587,RK38,74859832,"171,405,196","1,740,452,057","20,592,008","5,495,308","11,511,525","99,683,016","34,123,339","20,654,549,276","114,943","9,830,061",1740452057.6,-0.599999904632568,FALSE
2021-11-23,RA38  LionsRoar,RA38  LionsRoar,12782581,RA38,74859814,"84,894,010","1,049,595,971","4,760,487","1,164,870","1,097,051","51,550,611","26,320,991","7,845,415,867","95,978","8,022,047",1049595971.4,-0.399999976158142,FALSE
2021-11-23,Nebu l,Nebu l,33851182,RR38,74830156,"74,022,622","620,101,903","18,476,199","4,472,249","6,856,999","30,430,933","13,786,242","4,225,631,401",0,"6,344,947",620101903.8,-0.799999952316284,FALSE
2021-11-23,PERSAIN,PERSAIN,11904784,RA38,74764584,"94,597,584","1,174,615,931","2,136,866","512,746","772,214","65,344,095","25,831,663","1,965,539,131","64,581","5,236,997",1174615931.2,-0.200000047683716,FALSE
2021-11-23,义Rengoku,义Rengoku,10391630,RR38,74733668,"133,494,266","1,664,335,978","2,991,412","1,028,076","2,021,051","89,547,720","37,906,007","2,966,099,777","69,642","7,481,045",1664335978.4,-0.400000095367432,FALSE
2021-11-23,亗BLS EVIL亗,亗BLS EVIL亗,40412748,RA38,74469671,"86,288,648","815,641,860","6,871,444","6,827,330","8,351,088","51,756,716","12,482,070","5,199,276,688","86,690","3,851,383",815641860.8,-0.799999952316284,FALSE
2021-11-23,Suga 旬,Suga 旬,49911535,RA38,74407251,"71,879,833","895,402,164","1,006,682","2,166,934","952,830","46,801,210","20,952,177","1,005,341,496","64,518","4,994,406",895402164.4,-0.399999976158142,FALSE
2021-11-23,Pochemuchka,Pochemuchka,10154350,RR38,74367049,"91,544,287","673,548,865","30,236,016","2,276,579","5,500,106","42,968,364","10,563,222","7,903,333,860","74,916","6,901,099",673548865.2,-0.200000047683716,FALSE
2021-11-23,Dotsawnt,Dotsawnt,96196248,RP38,74365111,"44,100,574","457,517,094","2,310,820","3,052,780","2,592,155","28,231,563","7,913,256","1,600,419,691","35,397","1,840,907",457517094,0,FALSE
2021-11-23,Jackncoke,Jackncoke,6017556,RK38,74223265,"8,304,223","117,516,454","15,723","7,037","15,294","4,788,532","3,477,637","3,264,908,510","31,106","2,243,854",117516454.6,-0.599999994039536,FALSE
2021-11-23,MrPopeNuts,MrPopeNuts,24577697,RR38,74120499,"60,458,674","732,395,743","1,704,218","510,234","962,388","41,845,180","15,436,654","6,377,120,030","109,136","8,372,852",732395743.6,-0.600000023841858,FALSE
2021-11-23,Qitiandsheng永,Qitiandsheng永,53459290,RR38,74034082,"85,329,374","930,333,439","9,663,706","1,724,086","3,313,504","50,086,305","20,541,773","3,109,628,192","97,763","5,931,100",930333439.2,-0.200000047683716,FALSE
2021-11-23,Dᵘcᵏ Marley,Dᵘcᵏ Marley,21464078,RK38,73993186,"121,033,566","824,966,342","53,859,692","2,301,614","2,587,159","44,645,948","17,639,153","7,003,574,001","92,556","6,344,719",824966342.4,-0.399999976158142,FALSE
2021-11-23,The Clownfish,The Clownfish,11075518,RK38,73891831,"39,411,448","487,211,086","1,315,603","986,604","1,837,317","22,781,299","12,490,625","3,588,158,431","14,913","4,952,327",487211086.6,-0.600000023841858,FALSE
