,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
5901,5901,4021,2021-12-09,CaptainFelixᴿ,CaptainFelixR,96242763,Rw38,14254303.0,808716,6464433,145045,79399,72259,425267,86746,31771879,7664,306608
5906,5906,4039,2021-12-09,Falcon Solider,Falcon Solider,96245101,Rw38,10613431.0,186076,1070072,40681,45882,4593,94660,260,0,1993,213631
5907,5907,4211,2021-12-09,m3llow mannkalo,m3llow mannkalo,96245923,Ri38,19270020.0,385851,3038452,27384,43512,33933,281022,0,238673198,9857,39675
5910,5910,4198,2021-12-09,Under Boss Para,Under Boss Para,96246383,Rw38,16829666.0,2852948,6911293,2064908,99676,145275,514392,28697,27806047,11602,180185
5911,5911,4183,2021-12-09,Steelrone,Steelrone,96248420,RP38,16621218.0,1942173,10820352,263271,559751,370034,681428,67689,141685091,9921,544759
5918,5918,4100,2021-12-09,M3llow Tuna,M3llow Tuna,96250012,Ri38,21185798.0,223411,586909,91805,90082,4476,37048,0,32000000,7573,11332
5919,5919,4200,2021-12-09,VceN,VceN,96253426,Rw38,14342269.0,391351,3203056,20090,31627,43426,296208,0,8885143,8497,3190
5926,5926,4059,2021-12-09,Jounin Temp,Jounin Temp,96253645,RK38,20889101.0,1767862,13721777,115396,211116,391779,928207,121364,3445471,10466,191396
5931,5931,4042,2021-12-09,GangsofWasepur,GangsofWasepur,96254604,Rw38,17190586.0,437920,2256432,72360,169073,10176,186311,0,10000,4993,619859
5932,5932,4005,2021-12-09,Ashwillmore,Ashwillmore,96254835,Rw38,14710625.0,408376,3256417,85109,21681,32056,232279,37251,21256,13013,34394
5933,5933,4090,2021-12-09,M3llow JCO,M3llow JCO,96255103,Ri38,13385001.0,1039328,4347721,201495,382620,176123,274411,4679,25326607,7812,269358
5938,5938,4081,2021-12-09,M3llow Death,M3llow Death,96256699,Ri38,14623814.0,328460,639837,142748,95564,80220,9928,0,93868930,9428,83325
5939,5939,4071,2021-12-09,KÖNİGSRASSE,KONIGSRASSE,96256955,Rw38,12507077.0,131608,696612,17660,51834,5288,56826,0,5831152,3875,33192
5949,5949,4096,2021-12-09,M3llow Switch,M3llow Switch,96258082,Ri38,19573759.0,8137,1406633,4019,995,280,2842,1,2831468,4989,99628
5950,5950,4103,2021-12-09,M3llow hello,M3llow hello,96258173,Ri38,20627639.0,2094011,14640493,188266,380051,387592,1046967,91135,5977857,12695,244630
5951,5951,4106,2021-12-09,MexiSpideyJay,MexiSpideyJay,96258521,Rw38,17265419.0,638928,1887585,296379,76514,164178,101857,0,104391972,6972,128557
5954,5954,4102,2021-12-09,M3llow Yami,M3llow Yami,96259471,Ri38,14877896.0,6545957,16951614,1635790,3701483,694925,383339,130420,24277521,13843,796394
5955,5955,4168,2021-12-09,Slayer x yMt3,Slayer x yMt3,96259916,RX38,21729852.0,3683162,13230433,2209535,280452,156993,912399,123783,242663945,22639,293650
