,Governor ID,Name,Ranking,Power,KVK Contrib,PS1,PS2
320,81772415,Sytore亗,106,49806339.0,20141340.0,9704143.913097491,9704143.913097648
87,41086563,Dårth Invader,107,69357952.0,19955481.0,17400079.51816308,17400079.51816314
21,39759597,MadPharoh,108,126153431.0,19847364.0,37385040.16194988,37385040.161949515
74,1080643,义Headhuntr义,109,70446322.0,19670159.116,17848979.285170645,17848979.285170697
783,95673384,㐅1 cödè ㋛,110,29976363.0,19592565.0,3438877.7471651686,3438877.7471650904
306,68543872,DHAFIR OG,111,42213310.0,19578161.0,7055814.143623572,7055814.14362369
195,13551576,Lady Manor,112,58444251.0,19313275.0,12988572.474070797,12988572.474070938
734,96201962,Bobö,113,39424914.0,19263782.0,6153775.542903346,6153775.5429034345
236,73870935,DaProd,114,67815467.0,19164208.0,16765667.36613421,16765667.366134282
321,49174922,Slayer X Kvothe,115,55274011.0,19038263.004,11755482.137754356,11755482.13775451
288,58216523,Legend ReX,116,54455382.0,18883220.0,11441882.305012103,11441882.30501226
183,40299040,㋛Marreta Preta㋛,117,57865218.0,18730340.0,12761275.678557897,12761275.678558042
72,11749129,mustachride,118,70605264.0,18685301.0,17914608.004648186,17914608.00464824
333,31352114,SALLOUM44,119,46952097.0,18682891.188,8678349.82833126,8678349.828331407
118,30199415,RedPrinceAzazel,120,71081422.0,18589477.1,18111315.833330404,18111315.83333045
233,59324361,Bōt,121,58933453.0,18507477.0,13181279.927754115,13181279.927754251
14,17736708,GangstaMaruDGAF,122,90160283.0,18488561.0,25920708.483463317,25920708.483463123
52,63968661,Radnaxi,123,73546402.0,18319861.0,19131383.720145844,19131383.72014586
104,7681587,AndrewB2000,124,88034270.0,18214471.004,25073929.08628727,25073929.086287104
127,19004552,I BlackHeart I,125,70008571.0,18189547.0,17668319.129384033,17668319.129384086
467,80394569,Slayer X Ch0N,126,40859475.0,18186026.0,6612666.337447726,6612666.3374478305
54,30236269,MarvNNN591,127,77070563.0,18176783.0,20591282.736053508,20591282.736053485
221,61944693,Fist me Daddy,128,59584570.0,18144071.032,13438692.612079287,13438692.612079425
314,63595204,Portelá,129,48805823.0,18124532.0,9340733.922309885,9340733.92231004
47,6960423,Mmarsh,130,74766807.0,18040748.0,19637011.168016654,19637011.168016654
134,10806254,BEP 1,131,68640176.0,17994677.0,17104574.97777775,17104574.97777782
478,76923099,daNny,132,38038032.0,17916816.0,5721012.609091254,5721012.609091324
503,79498103,I M StoneBank,133,36163360.0,17769841.496,5153786.4500898095,5153786.450089852
